PLAYER_NAME,SEASON,TEAM_ABBREVIATION,GP,MIN,steals_p36,blocks_p36,stocks_p36,DEF_RATING,DREB_PCT,DEF_RANK,team_def_quality,availability_score,defense_impact,elite_defender_context,DPOY_VOTE_SHARE
Buddy Hield,2023-24,PHI,84,25.7,1.1206225680933855,0.7003891050583657,1.8210116731517512,115.7,0.098,13.0,0.6,0.7313008130081301,1.0926070038910507,0,0.0
Josh Smith,2014-15,HOU,83,27.7,1.2996389891696751,1.819494584837545,3.11913357400722,102.0,0.155,7.0,0.8,0.7788279132791327,2.495306859205776,1,0.0
Mikal Bridges,2022-23,BKN,83,35.7,1.1092436974789917,0.7058823529411763,1.8151260504201678,113.2,0.094,17.0,0.4666666666666667,1.0037601626016261,0.8470588235294116,0,0.0
Andrew Wiggins,2014-15,MIN,82,36.2,0.9944751381215469,0.5966850828729282,1.591160220994475,111.3,0.085,30.0,0.03333333333333333,1.0055555555555555,0.053038674033149165,0,0.0
Mikal Bridges,2023-24,BKN,82,34.8,1.0344827586206897,0.4137931034482759,1.4482758620689657,114.3,0.105,19.0,0.4,0.9666666666666666,0.5793103448275864,0,0.0
Khris Middleton,2017-18,MIL,82,36.4,1.4835164835164836,0.2967032967032967,1.7802197802197803,108.7,0.133,18.0,0.43333333333333335,1.011111111111111,0.7714285714285715,0,0.0
Dragan Bender,2017-18,PHX,82,25.2,0.42857142857142855,0.8571428571428571,1.2857142857142856,110.9,0.149,30.0,0.03333333333333333,0.7,0.04285714285714285,0,0.0
Elfrid Payton,2014-15,ORL,82,30.3,2.01980198019802,0.2376237623762376,2.2574257425742577,105.7,0.099,24.0,0.23333333333333334,0.8416666666666667,0.5267326732673268,0,0.0
E'Twaun Moore,2017-18,NOP,82,31.5,1.1428571428571428,0.11428571428571428,1.2571428571428571,106.1,0.065,14.0,0.5666666666666667,0.875,0.7123809523809523,0,0.0
Ramon Sessions,2015-16,WAS,82,20.3,1.064039408866995,0.17733990147783252,1.2413793103448276,103.2,0.108,14.0,0.5666666666666667,0.5638888888888889,0.7034482758620689,0,0.0
Reggie Jackson,2018-19,DET,82,27.9,0.903225806451613,0.12903225806451615,1.0322580645161292,108.4,0.076,12.0,0.6333333333333333,0.7749999999999999,0.6537634408602151,0,0.0
Royce O'Neale,2018-19,UTA,82,20.4,1.2352941176470589,0.5294117647058824,1.7647058823529411,101.9,0.146,2.0,0.9666666666666667,0.5666666666666667,1.7058823529411764,0,0.0
Shabazz Muhammad,2015-16,MIN,82,20.5,0.526829268292683,0.17560975609756097,0.7024390243902439,109.1,0.102,28.0,0.1,0.5694444444444444,0.07024390243902438,0,0.0
Robin Lopez,2015-16,NYK,82,27.1,0.2656826568265683,2.125461254612546,2.3911439114391144,106.5,0.145,18.0,0.43333333333333335,0.7527777777777778,1.0361623616236162,0,0.0
Shai Gilgeous-Alexander,2018-19,LAC,82,26.5,1.6301886792452829,0.6792452830188679,2.309433962264151,110.8,0.078,19.0,0.4,0.7361111111111112,0.9237735849056604,0,0.0
Tristan Thompson,2015-16,CLE,82,27.7,0.6498194945848376,0.779783393501805,1.4296028880866425,102.2,0.209,10.0,0.7,0.7694444444444444,1.0007220216606496,0,0.0
Andrew Wiggins,2016-17,MIN,82,37.2,0.9677419354838709,0.3870967741935484,1.3548387096774193,111.3,0.077,27.0,0.13333333333333333,1.0333333333333334,0.18064516129032257,0,0.0
Zach LaVine,2015-16,MIN,82,28.0,1.0285714285714287,0.2571428571428572,1.2857142857142858,110.4,0.089,28.0,0.1,0.7777777777777778,0.1285714285714286,0,0.0
Will Barton,2015-16,DEN,82,28.7,1.1289198606271778,0.627177700348432,1.7560975609756098,106.8,0.177,25.0,0.2,0.7972222222222222,0.351219512195122,0,0.0
Patty Mills,2018-19,SAS,82,23.3,0.927038626609442,0.15450643776824036,1.0815450643776825,109.1,0.076,20.0,0.36666666666666664,0.6472222222222223,0.3965665236051502,0,0.0
P.J. Tucker,2018-19,HOU,82,34.2,1.6842105263157894,0.5263157894736842,2.2105263157894735,109.5,0.129,17.0,0.4666666666666667,0.9500000000000001,1.031578947368421,0,0.0
Andrew Wiggins,2017-18,MIN,82,36.3,1.090909090909091,0.5950413223140496,1.6859504132231407,108.9,0.094,25.0,0.2,1.0083333333333333,0.33719008264462813,0,0.0
Lance Stephenson,2017-18,IND,82,22.6,0.9557522123893804,0.3185840707964602,1.2743362831858405,109.4,0.203,12.0,0.6333333333333333,0.6277777777777778,0.8070796460176989,0,0.0
Julius Randle,2017-18,LAL,82,26.7,0.6741573033707865,0.6741573033707865,1.348314606741573,108.4,0.202,12.0,0.6333333333333333,0.7416666666666667,0.8539325842696629,0,0.0
Marcin Gortat,2014-15,WAS,82,29.9,0.7224080267558528,1.5652173913043481,2.287625418060201,99.1,0.209,6.0,0.8333333333333334,0.8305555555555555,1.9063545150501675,1,0.0
Nikola Mirotic,2014-15,CHI,82,20.2,1.2475247524752473,1.2475247524752473,2.4950495049504946,100.4,0.193,11.0,0.6666666666666666,0.5611111111111111,1.663366336633663,0,0.0
Mikal Bridges,2018-19,PHX,82,29.5,1.9525423728813562,0.6101694915254238,2.56271186440678,112.0,0.085,29.0,0.06666666666666667,0.8194444444444444,0.17084745762711867,0,0.0
Markieff Morris,2014-15,PHX,82,31.5,1.3714285714285712,0.5714285714285714,1.9428571428571426,102.6,0.149,18.0,0.43333333333333335,0.875,0.8419047619047618,0,0.0
Mason Plumlee,2014-15,BKN,82,21.3,1.352112676056338,1.352112676056338,2.704225352112676,106.6,0.198,22.0,0.3,0.5916666666666667,0.8112676056338027,0,0.0
Georges Niang,2023-24,CLE,82,22.3,0.6457399103139013,0.32286995515695066,0.9686098654708519,113.9,0.138,6.0,0.8333333333333334,0.6194444444444445,0.8071748878923767,0,0.0
P.J. Tucker,2017-18,HOU,82,27.8,1.2949640287769784,0.3884892086330935,1.683453237410072,103.4,0.16,6.0,0.8333333333333334,0.7722222222222223,1.4028776978417266,0,0.0
Marcin Gortat,2017-18,WAS,82,25.3,0.7114624505928854,0.9960474308300394,1.7075098814229248,105.3,0.213,15.0,0.5333333333333333,0.7027777777777778,0.9106719367588932,0,0.0
LeBron James,2017-18,CLE,82,36.9,1.3658536585365852,0.8780487804878049,2.24390243902439,112.1,0.201,29.0,0.06666666666666667,1.025,0.14959349593495933,0,0.0
Domantas Sabonis,2023-24,SAC,82,35.7,0.9075630252100839,0.6050420168067226,1.5126050420168067,115.2,0.295,14.0,0.5666666666666667,0.9916666666666667,0.8571428571428571,0,0.0
Andre Drummond,2014-15,DET,82,30.5,1.0622950819672132,2.242622950819672,3.304918032786885,105.5,0.272,20.0,0.36666666666666664,0.8472222222222222,1.2118032786885244,0,0.0
Aaron Brooks,2014-15,CHI,82,23.0,1.0956521739130434,0.3130434782608696,1.408695652173913,102.1,0.068,11.0,0.6666666666666666,0.6388888888888888,0.9391304347826086,0,0.0
Nickeil Alexander-Walker,2023-24,MIN,82,23.4,1.2307692307692308,0.7692307692307693,2.0,105.5,0.066,1.0,1.0,0.6499999999999999,2.0,0,0.0
Rudy Gobert,2014-15,UTA,82,26.3,1.0950570342205324,3.14828897338403,4.243346007604562,99.4,0.232,14.0,0.5666666666666667,0.7305555555555556,2.404562737642585,0,0.051
Patrick Williams,2022-23,CHI,82,28.3,1.1448763250883391,1.1448763250883391,2.2897526501766783,113.2,0.107,5.0,0.8666666666666667,0.7861111111111111,1.984452296819788,1,0.0
Solomon Hill,2014-15,IND,82,29.0,0.9931034482758622,0.24827586206896554,1.2413793103448276,104.4,0.103,8.0,0.7666666666666667,0.8055555555555556,0.9517241379310346,0,0.0
Taj Gibson,2017-18,MIN,82,33.2,0.8674698795180722,0.7590361445783131,1.6265060240963853,108.5,0.146,25.0,0.2,0.9222222222222223,0.3253012048192771,0,0.0
Buddy Hield,2016-17,SAC,82,23.0,0.7826086956521738,0.1565217391304348,0.9391304347826086,107.9,0.12,26.0,0.16666666666666666,0.6388888888888888,0.15652173913043477,0,0.0
Patty Mills,2017-18,SAS,82,25.7,0.9805447470817121,0.14007782101167318,1.1206225680933852,105.3,0.061,4.0,0.9,0.7138888888888889,1.0085603112840467,0,0.0
Nikola Vučević,2022-23,CHI,82,33.5,0.7522388059701491,0.7522388059701491,1.5044776119402983,112.8,0.274,5.0,0.8666666666666667,0.9305555555555556,1.3038805970149252,0,0.0
Tobias Harris,2016-17,DET,82,31.3,0.805111821086262,0.5750798722044728,1.3801916932907348,106.1,0.14,8.0,0.7666666666666667,0.8694444444444445,1.05814696485623,0,0.0
Taurean Prince,2017-18,ATL,82,30.0,1.2,0.6,1.7999999999999998,111.4,0.138,24.0,0.23333333333333334,0.8333333333333334,0.42,0,0.0
Mason Plumlee,2015-16,POR,82,25.4,1.1338582677165356,1.4173228346456692,2.5511811023622046,107.4,0.203,19.0,0.4,0.7055555555555555,1.020472440944882,0,0.0
Kevon Looney,2022-23,GSW,82,23.9,0.9037656903765691,0.9037656903765691,1.8075313807531381,112.0,0.234,16.0,0.5,0.6638888888888889,0.9037656903765691,0,0.0
Marquese Chriss,2016-17,PHX,82,21.3,1.352112676056338,1.5211267605633803,2.873239436619718,113.8,0.148,28.0,0.1,0.5916666666666667,0.28732394366197184,0,0.0
Mason Plumlee,2018-19,DEN,82,21.1,1.3649289099526067,1.5355450236966823,2.9004739336492893,106.1,0.198,10.0,0.7,0.5861111111111111,2.0303317535545022,1,0.0
Bobby Portis,2023-24,MIL,82,24.5,1.1755102040816328,0.5877551020408164,1.7632653061224492,116.0,0.228,20.0,0.36666666666666664,0.6805555555555556,0.646530612244898,0,0.0
Austin Reaves,2023-24,LAL,82,32.1,0.897196261682243,0.3364485981308411,1.233644859813084,115.6,0.107,21.0,0.3333333333333333,0.8916666666666667,0.41121495327102797,0,0.0
Joe Ingles,2017-18,UTA,82,31.4,1.2611464968152868,0.22929936305732485,1.4904458598726116,102.4,0.125,1.0,1.0,0.8722222222222222,1.4904458598726116,0,0.0
P.J. Tucker,2015-16,PHX,82,31.0,1.5096774193548388,0.23225806451612904,1.7419354838709677,107.1,0.138,24.0,0.23333333333333334,0.8611111111111112,0.4064516129032258,0,0.0
Monté Morris,2018-19,DEN,82,24.0,1.3499999999999999,0.0,1.3499999999999999,105.1,0.078,10.0,0.7,0.6666666666666666,0.9449999999999998,0,0.0
Montrezl Harrell,2018-19,LAC,82,26.3,1.231939163498099,1.779467680608365,3.011406844106464,109.9,0.146,19.0,0.4,0.7305555555555556,1.2045627376425856,0,0.0
