PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,STL,BLK,DEF_RATING,DREB_PCT,SEASON
1630811,Keaton Wallace,ATL,20,15.2,0.8,0.2,109.0,0.094,2025-26
1642276,Kel'el Ware,MIA,21,24.4,1.0,1.3,112.2,0.241,2025-26
1629640,Keldon Johnson,SAS,20,24.4,0.8,0.1,112.1,0.179,2025-26
203484,Kentavious Caldwell-Pope,MEM,22,21.9,0.6,0.2,115.7,0.091,2025-26
1631165,Keon Ellis,SAC,20,16.6,1.2,0.4,115.6,0.07,2025-26
1641718,Keyonte George,UTA,20,34.1,1.0,0.3,122.1,0.098,2025-26
202691,Klay Thompson,DAL,21,21.8,0.3,0.3,103.6,0.088,2025-26
1642851,Kon Knueppel,CHA,21,33.5,0.8,0.2,116.5,0.142,2025-26
1627739,Kris Dunn,LAC,21,26.4,1.6,0.2,119.9,0.072,2025-26
1631200,Kris Murray,POR,20,24.7,1.2,0.2,115.6,0.081,2025-26
1628398,Kyle Kuzma,MIL,21,25.9,0.9,0.4,113.8,0.14,2025-26
1628374,Lauri Markkanen,UTA,20,35.6,0.9,0.4,116.7,0.112,2025-26
1641824,Matas Buzelis,CHI,20,28.2,0.8,1.5,111.6,0.141,2025-26
1631108,Max Christie,DAL,22,29.3,0.5,0.5,113.2,0.1,2025-26
1628969,Mikal Bridges,NYK,20,35.0,2.1,1.2,114.8,0.094,2025-26
201144,Mike Conley,MIN,21,19.5,0.6,0.1,116.0,0.077,2025-26
1628970,Miles Bridges,CHA,21,35.0,0.6,0.6,119.8,0.146,2025-26
1630541,Moses Moody,GSW,20,25.5,1.0,0.8,105.7,0.089,2025-26
1631243,Mouhamed Gueye,ATL,22,17.6,0.6,0.7,107.9,0.127,2025-26
1631217,Moussa Diabaté,CHA,21,22.9,0.7,1.1,116.6,0.189,2025-26
1626167,Myles Turner,MIL,22,29.6,1.0,1.7,113.9,0.167,2025-26
1630230,Naji Marshall,DAL,22,27.1,1.1,0.1,111.1,0.144,2025-26
1629675,Naz Reid,MIN,21,25.2,1.0,0.9,116.3,0.182,2025-26
1629651,Nic Claxton,BKN,20,30.0,0.7,1.3,123.2,0.161,2025-26
1629638,Nickeil Alexander-Walker,ATL,20,32.8,1.0,0.9,112.3,0.074,2025-26
201587,Nicolas Batum,LAC,21,18.9,1.0,0.5,120.0,0.115,2025-26
203999,Nikola Jokić,DEN,20,34.8,1.5,0.8,114.2,0.26,2025-26
1641730,Noah Clowney,BKN,20,27.4,0.7,0.7,120.9,0.11,2025-26
1630168,Onyeka Okongwu,ATL,21,30.5,0.9,1.1,110.3,0.178,2025-26
1642345,Oso Ighodaro,PHX,22,17.1,0.7,0.6,109.4,0.162,2025-26
1627783,Pascal Siakam,IND,20,34.3,1.3,0.6,116.4,0.154,2025-26
1630202,Payton Pritchard,BOS,21,32.2,0.7,0.1,114.7,0.096,2025-26
